title,authors,abstract,categories,created
Endogenous Coalition Formation in Policy Debates,,"Political actors form coalitions around their joint normative beliefs in
order to influence the policy process on contentious issues such as climate
change or population ageing. Policy process theory maintains that learning
within and across coalitions is a central predictor of coalition formation and
policy change but has yet to explain how policy learning works. The present
article explains the formation and maintenance of coalitions by focusing on the
ways actors adopt policy beliefs from other actors in policy debates. A policy
debate is a complex social system in which temporal network dependence guides
how actors contribute ideological statements to the debate. Belief adoption
matters in three complementary ways: bonding, which exploits cues within
coalitions; bridging, which explores new beliefs outside one's perimeter in the
debate; and repulsion, which reinforces polarization between coalitions and
cements their belief systems. We formalize this theory of endogenous coalition
formation in policy debates and test it on a micro-level empirical dataset
using statistical network analysis and event history analysis.",cs.SI stat.AP,2019-03-25
"Interpretable Feature Learning in Multivariate Big Data Analysis for
  Network Monitoring",,"There is an increasing interest in the development of new data-driven models
useful to assess the performance of communication networks. For many
applications, like network monitoring and troubleshooting, a data model is of
little use if it cannot be interpreted by a human operator. In this paper, we
present an extension of the Multivariate Big Data Analysis (MBDA) methodology,
a recently proposed interpretable data analysis tool. In this extension, we
propose a solution to the automatic derivation of features, a cornerstone step
for the application of MBDA when the amount of data is massive. The resulting
network monitoring approach allows us to detect and diagnose disparate network
anomalies, with a data-analysis workflow that combines the advantages of
interpretable and interactive models with the power of parallel processing. We
apply the extended MBDA to two case studies: UGR'16, a benchmark flow-based
real-traffic dataset for anomaly detection, and Dartmouth'18, the longest and
largest Wi-Fi trace known to date.",cs.NI cs.LG stat.ML,2019-07-05
"A Simulative Study on Active Disturbance Rejection Control (ADRC) as a
  Control Tool for Practitioners",,"As an alternative to both classical PID-type and modern model-based
approaches to solving control problems, active disturbance rejection control
(ADRC) has gained significant traction in recent years. With its simple tuning
method and robustness against process parameter variations, it puts itself
forward as a valuable addition to the toolbox of control engineering
practitioners. This article aims at providing a single-source introduction and
reference to linear ADRC with this audience in mind. A simulative study is
carried out using generic first- and second-order plants to enable a quick
visual assessment of the abilities of ADRC. Finally, a modified form of the
discrete-time case is introduced to speed up real-time implementations as
necessary in applications with high dynamic requirements.",eess.SY cs.SY,2019-08-13
"Computer-assisted proofs for Lyapunov stability via Sums of Squares
  certificates and Constructive Analysis",,"We provide a computer-assisted approach to ensure that a given continuous or
discrete-time polynomial system is (asymptotically) stable. Our framework
relies on constructive analysis together with formally certified sums of
squares Lyapunov functions. The crucial steps are formalized within of the
proof assistant Minlog. We illustrate our approach with various examples issued
from the control system literature.",math.OC cs.LO,2020-06-17
Generic Analysis of Model Product Lines via Constraint Lifting,,"Engineering a product-line is more than just describing a product-line: to be
correct, every variant that can be generated must satisfy some constraints. To
ensure that all such variants will be correct (e.g. well-typed) there are only
two ways: either to check the variants of interest individually or to come up
with a complex product-line analysis algorithm, specific to every constraint.
In this paper, we address a generalization of this problem: we propose a
mechanism that allows to check whether a constraint holds simultaneously for
all variants which might be generated. The main contribution of this paper is a
function that assumes constraints that shall be fulfilled by all variants and
generates (""lifts"") out of them constraints for the product-line. These lifted
constraints can then be checked directly on a model product-line, thus
simultaneously be verified for all variants. The lifting is formulated in a
very general manner, which allows to make use of generic algorithms like SMT
solving or theorem proving in a modular way. We show how to verify lifted
constraints using SMT solving by automatically translating model product-lines
and constraints. The applicability of the approach is demonstrated with an
industrial case study, in which we apply our lifting to a domain specific
modelling language for manufacturing planning. Finally, a runtime analysis
shows scalability by analyzing different model product-lines with production
planning data from the BMW Group and Miele.",cs.SE,2020-08-26
"A Double Auction for Charging Scheduling among Vehicles Using
  DAG-Blockchains",,"Electric Vehicles (EVs) are becoming more and more popular in our daily life,
which replaces traditional fuel vehicles to reduce carbon emissions and protect
the environment. EVs need to be charged, but the number of charging piles in a
Charging Station (CS) is limited and charging is usually more time-consuming
than fueling. According to this scenario, we propose a secure and efficient
charging scheduling system based on a Directed Acyclic Graph (DAG)-blockchain
and double auction mechanism. In a smart area, it attempts to assign EVs to the
available CSs in the light of their submitted charging requests and status
information. First, we design a lightweight charging scheduling framework that
integrates DAG-blockchain and modern cryptography technology to ensure security
and scalability during performing scheduling and completing tradings. In this
process, a constrained multi-item double auction problem is formulated because
of the limited charging resources in a CS, which motivates EVs and CSs in this
area to participate in the market based on their preferences and statuses. Due
to this constraint, our problem is more complicated and harder to achieve
truthfulness as well as system efficiency compared to the existing double
auction model. To adapt to it, we propose two algorithms, namely Truthful
Mechanism for Charging (TMC) and Efficient Mechanism for Charging (EMC), to
determine an assignment between EVs and CSs and pricing strategies. Then, both
theoretical analysis and numerical simulations show the correctness and
effectiveness of our proposed algorithms.",cs.NI cs.GT,2020-10-03
"Transfer Function Analysis and Implementation of Active Disturbance
  Rejection Control",,"To support the adoption of active disturbance rejection control (ADRC) in
industrial practice, this article aims at improving both understanding and
implementation of ADRC using traditional means, in particular via transfer
functions and a frequency-domain view. Firstly, to enable an immediate
comparability with existing classical control solutions, a realizable transfer
function implementation of continous-time linear ADRC is introduced. Secondly,
a frequency-domain analysis of ADRC components, performance, parameter
sensitivity, and tuning method is performed. Finally, an exact implementation
of discrete-time ADRC using transfer functions is introduced for the first
time, with special emphasis on practical aspects such as computational
efficiency, low parameter footprint, and windup protection.",eess.SY cs.SY,2020-11-02
K-Deep Simplex: Deep Manifold Learning via Local Dictionaries,,"We propose K-Deep Simplex(KDS) which, given a set of data points, learns a
dictionary comprising synthetic landmarks, along with representation
coefficients supported on a simplex. KDS employs a local weighted $\ell_1$
penalty that encourages each data point to represent itself as a convex
combination of nearby landmarks. We solve the proposed optimization program
using alternating minimization and design an efficient, interpretable
autoencoder using algorithm unrolling. We theoretically analyze the proposed
program by relating the weighted $\ell_1$ penalty in KDS to a weighted $\ell_0$
program. Assuming that the data are generated from a Delaunay triangulation, we
prove the equivalence of the weighted $\ell_1$ and weighted $\ell_0$ programs.
We further show the stability of the representation coefficients under mild
geometrical assumptions. If the representation coefficients are fixed, we prove
that the sub-problem of minimizing over the dictionary yields a unique
solution. Further, we show that low-dimensional representations can be
efficiently obtained from the covariance of the coefficient matrix. Experiments
show that the algorithm is highly efficient and performs competitively on
synthetic and real data sets.",cs.LG cs.IT eess.SP math.IT math.OC,2020-12-03
"Nonparametric Bayesian inference for reversible multi-dimensional
  diffusions",,"We study nonparametric Bayesian models for reversible multi-dimensional
diffusions with periodic drift. For continuous observation paths, reversibility
is exploited to prove a general posterior contraction rate theorem for the
drift gradient vector field under approximation-theoretic conditions on the
induced prior for the invariant measure. The general theorem is applied to
Gaussian priors and $p$-exponential priors, which are shown to converge to the
truth at the minimax optimal rate over Sobolev smoothness classes in any
dimension.",math.ST cs.NA math.NA math.PR stat.TH,2020-12-22
Finite Automata Encoding Piecewise Polynomials,,"Finite automata are used to encode geometric figures, functions and can be
used for image compression and processing. The original approach is to
represent each point of a figure in $\mathbb{R}^n$ as a convolution of its $n$
coordinates written in some base. Then a figure is said to be encoded as a
finite automaton if the set of convolutions corresponding to the points in this
figure is accepted by a finite automaton. The only differentiable functions
which can be encoded as a finite automaton in this way are linear. In this
paper we propose a representation which enables to encode piecewise polynomial
functions with arbitrary degrees of smoothness that substantially extends a
family of functions which can be encoded as finite automata. Such
representation naturally comes from the framework of hierarchical tensor
product B-splines, which are piecewise polynomials widely utilized in numerical
computational geometry. We show that finite automata provide a suitable tool
for solving computational problems arising in this framework when the support
of a function is unbounded.",cs.CG cs.FL,2021-04-06
